name,portion,calories
Macaroni salad with egg,.5 cup,178.77
Maki sushi (rolled sushi with veggies),1 piece,30.42
Maki sushi (rolled sushi with veggies),.25 cup,48.555
Malted milk (Ovaltine),1 cup,173.9
Mandarin oranges (light syrup),.5 cup,76.86
Mango (raw),".5 cup, sliced",53.625
Mango (raw),.5 mango,67.275
Manhattan,1 cocktail,138.243
Manhattan,4 fluid ounces (no ice),263.32
Maraschino cherries,1 cherry,7.095
Maraschino cherries,.25 cup,66.4125
Margarita,1 cocktail (incl. frozen),425.754
Margarita,4 fluid ounces (no ice),270.32
Marshmallow rice krispies bar,"1 bar (2"" square)",112.8
Marshmallow topping,1 Tablespoon,19.964
Marshmallow topping,.25 cup,79.695
Marshmallows,1 regular,22.896
Marshmallows,.25 cup of miniatures,36.57
Marshmallows,1 Peep chicken or bunny,25.44
Martini,1 cocktail,129.92
Martini,4 fluid ounces (no ice),259.84
Mashed potatoes (with butter),.5 cup,115.5
Mashed potatoes (with milk and butter),.5 cup,109.2
"Mashed potatoes (with milk, no butter)",.5 cup,85.05
Mashed sweet potato,.5 cup,107.445
Matzo,1 matzo,110.6
Matzo ball,1 ball,47.95
Matzo ball soup,1 cup,118.09
Matzo pancake,1 pancake or fritter,53.55
"Mayonnaise, regular",1 Tablespoon,98.946
"Mayonnaise, regular",.25 cup,394.35
"Mayonnaise, regular",1 packet,86.04
Meal replacement bar (Slim Fast bar),1 bar,142.8
Meal replacement drink (Slim Fast),1 cup,173.6
Meal replacement powder (Slim Fast),1 tablespoon,48.6
Meal replacement powder (Slim Fast),1 scoop/dip,106.92
Meat & cheese calzone or stromboli,.5 calzone or stromboli,737.76
"Meat & veggie pizza, thick crust",1 slice (1/8 med pizza),233.16
"Meat & veggie pizza, thick crust",.25 large pizza,727.62
"Meat & veggie pizza, thick crust",.25 medium pizza,465.65
"Meat & veggie pizza, thick crust",.5 French bread pizza,234.5
Mixed nuts,1 ounce,175
"Meat & veggie pizza, thick crust",1 big slice (1/8 lg pizza),363.81
"Meat & veggie pizza, thick crust","1 small pizza (8"" across)",798.64
"Meat & veggie pizza, thin crust",1 slice (1/8 med pizza),192.76
"Meat & veggie pizza, thin crust",.25 large pizza,601.46
"Meat & veggie pizza, thin crust",.25 medium pizza,384.91
"Meat & veggie pizza, thin crust",1 big slice (1/8 lg pizza),300.73
"Meat & veggie pizza, thin crust","1 small pizza (8"" across)",570.96
Meat and cheese quesadilla,1 quesadilla,605.36
Meat and cheese turnover (Hot Pockets),1 turnover,358.08
Meat lasagna,"1 piece (about 2-1/2"" x 4"")",321.36
Meat lasagna,1 cup,390
"Meat pizza, thick crust",1 slice (1/8 med pizza),243.32
"Meat pizza, thick crust",.25 large pizza,759.22
"Meat pizza, thick crust",.25 medium pizza,485.87
"Meat pizza, thick crust",.5 French bread pizza,244.86
"Meat pizza, thick crust",1 big slice (1/8 lg pizza),379.61
"Meat pizza, thick crust","1 small pizza (8"" across)",785.4
"Meat pizza, thin crust",1 slice (1/8 med pizza),208.03
"Meat pizza, thin crust",.25 large pizza,649.7275
"Meat pizza, thin crust",.25 medium pizza,415.3275
"Meat pizza, thin crust",1 big slice (1/8 lg pizza),324.86375
"Meat pizza, thin crust","1 small pizza (8"" across)",559.63
Meat ravioli with tomato sauce,.5 cup,104.165
Meat ravioli with tomato sauce,.5 can (15 oz),176.375
Meat ravioli with tomato sauce,1 piece,27.39
Meatball Sub,"1 6"" sub",611.04
Meatless bacon bits,1 Tablespoon,33.32
Meatless fried chicken (breaded),1 piece,84.24
Meatless fried chicken (breaded),".5 cup, diced",152.1
Meatless hot dog (no bun),1 frankfurter,163.1
Meatless sausage,1 link,64.25
Meatless sausage,1 patty,97.66
"Meatloaf or meatball, no sauce",1 medium slice,220.32
"Meatloaf or meatball, no sauce",1 large meatball,85.68
"Meatloaf or meatball, no sauce",1 medium meatball,57.12
"Meatloaf or meatball, no sauce",4 ounces after cooking,231.336
Meatloaf or meatballs & tomato sauce,1 medium slice,239.75
Meatloaf or meatballs & tomato sauce,1 large meatball,92.75
Meatloaf or meatballs & tomato sauce,1 medium meatball,63
Meatloaf or meatballs & tomato sauce,4 ounces after cooking,198.45
Melba toast,1 piece,19.5
Melba toast,1 melba round,11.7
Mexican beef vegetable soup,1 cup,143.4
Mexican chicken vegetable soup with rice,1 cup,181.5
Milk chocolate bar or candy (plain),1 Big Block bar (2.2 oz),331.7
Milk chocolate bar or candy (plain),1 solid egg,29.425
Milk chocolate bar or candy (plain),1 miniature bar (.5 oz),74.9
Milk chocolate bar or candy (plain),1 hollow piece (4.6 oz),706.2
Milk chocolate bar or candy (plain),1 bar (1.4 oz),214
Milk chocolate bar or candy (plain),.25 cup chocolate chips,224.7
Milk chocolate bar with almonds,1 bar (1.45 oz),215.66
Milk chocolate bar with almonds,1 Big Block bar (2.2 oz),326.12
Milk chocolate bar with almonds,1 miniature bar (.5 oz),73.64
Milk chocolate fruit & nut bar,1 bar (1.2 oz),150.48
Milk chocolate fruit & nut bar,.25 large (6 oz) bar,193.8
Milk chocolate fruit & nut bar,1 piece,50.16
Milk gravy,.25 cup,88.125
Milk shake (whole milk),1 milkshake (10 fl oz),393.37
"Milk shake, low fat",1 small shake (12 fl oz),198.64
"Milk shake, low fat",1 large shake (22 fl oz),364
"Milk shake, low fat",1 medium shake (16 fl oz),264.16
Milky Way candy bar,1 bar (1.9 oz),228.42
Milky Way candy bar,1 king size bar (3.6 oz),431.46
Milky Way candy bar,1 miniature bar (0.3 oz),35.955
Minestrone soup,1 cup,84.35
Miracle whip salad dressing,1 Tablespoon,57.33
Miracle whip salad dressing,.25 cup,229.125
Miracle whip salad dressing,1 packet,46.8
Mixed nuts,.25 cup,219.035
Mixed salad greens,"1 cup, chopped or shredded",8.8
Mole poblana sauce,.25 cup,78.175
Moon pie,1 moon pie,328.38
Moon pie,1 scooter pie,143.14
Moon pie,1 whoopie pie,239.97
Moon pie,1 Little Debbie,164.19
Mozzarella cheese (part skim),1 slice (slice = 1 oz),85.617
Mozzarella cheese (part skim),.25 cup shredded,85.315
Mozzarella cheese (part skim),1 cubic inch,53.152
Mozzarella cheese (part skim),1 string cheese stick,84.56
Multigrain bread,1 regular slice,65
Multigrain bread,1 large slice,80
Multigrain bread,1 thin slice,57.5
Mung bean noodles,"1 cup, cooked",159.6
Mushroom gravy,.25 cup,16.065
Mustard,1 teaspoon,3.3
Mustard,1 packet,3.3
Nectarine (raw),1 nectarine,59.84
Nectarine (raw),".5 cup, sliced",30.36
Nectarine (raw),1 slice,4.972
New England clam chowder,1 cup,148.8
Nigiri sushi (with fish and veggies),1 piece,36.4
Nigiri sushi (with fish and veggies),.25 cup,58.1
"Nonfat dry milk, reconstituted",1 cup,80.85
"Nonfat dry milk, reconstituted",8 fluid ounces,80.784
Noodle pudding,.5 cup,148.32
Nut topping (wet),1 Tablespoon,89.6
Nut topping (wet),.25 cup,367.36
Nutella (chocolate hazelnut spread),1 Tablespoon,83.855
Oatmeal (flavored),".5 cup, cooked",106.47
Oatmeal (flavored),"1 packet, cooked",132.86
Oatmeal (plain),".5 cup, cooked",72.54
Oatmeal raisin cookie,"1 medium (2-5/8"" across)",58.5
Oatmeal raisin cookie,"1 ""big"" cookie (4"" across)",112.5
Oatmeal raisin cookie,1 Little Debbie cookie,171
Onion rings,1 fast food order,157.38
Onion rings,.5 cup,43.92
Onion rings,5 medium rings,54.9
Orange (raw),"1 medium (2-5/8"" across)",61.57
Orange (raw),".5 cup, sections",42.3
Orange (raw),"1 large (3"" across)",86.48
Orange (raw),"1 small (2-3/8"" across)",45.12
Orange (raw),1 section or slice,7.99
Orange juice (100% juice),1 cup,104.58
Orange juice (100% juice),1 drink box (8 fl oz),110.46
Orange juice (100% juice),1 small box (4 oz),52.08
Orange juice (100% juice),1 McDonald's carton,75.6
Orange juice (100% juice),1 bottle (16 fl oz),209.16
Orange juice (sweetened),1 cup,130
Oreo or thin mint cookie,1 regular Oreo,51.92
Oreo or thin mint cookie,1 mini sandwich,13.216
Oreo or thin mint cookie,1 chocolate-coated Oreo,61.36
Oreo or thin mint cookie,1 fudge stick,42.48
Oreo or thin mint cookie,"1 large (4"" across)",141.6
Oreo or thin mint cookie,1 Girl Scout thin mint,33.512
Pancakes,"2 medium (5"" across)",183.2
Pancakes,"2 large (7"" across)",366.4
Pancakes,"2 small (3"" across)",59.54
Papaya (raw),.5 medium,59.28
Papaya (raw),".5 cup, cubes",27.3
Papaya (raw),.5 small,29.64
Parmesan or Romano cheese,1 tablespoon,21.55
Parsley,5 springs,0.18
Pasta salad with meat and vegetables,.5 cup,147.795
Pasta salad with vegetables,.5 cup,116.82
Pastrami (beef),1 slice (slice = 1 oz),97.72
Pea salad,.5 cup,250.38
Peach (canned in light syrup),1 half with liquid,52.92
Peach (canned in light syrup),.5 cup,67.77
Peach (canned in light syrup),1 snack size (4 oz),61.02
Peach (raw),1 medium (4 per lb),38.22
Peach (raw),".5 cup, diced",36.075
Rice with vegetables,.5 cup,139.05
Peach (raw),1 large (2-1/2 per lb),61.23
Peach (raw),1 small (5 per lb),30.81
Peach (raw),1 slice,3.12
Peach cobbler,.5 cup,209
Peach nectar,1 cup,134.46
Peanut brittle,1 medium piece (0.3 oz),43.56
Peanut brittle,1 small piece (0.2 oz),21.78
Peanut brittle,1 large piece (0.5 oz),62.92
Peanut butter,1 Tablespoon,95.84
Peanut butter & jelly spread,1 Tablespoon,65.44
Peanut butter cookie,1 medium,76.32
Peanut butter cookie,"1 ""big"" cookie (4"" across)",119.25
Peanut butter cups (Reese's),"1 package (2 cups, 1.6 oz)",231.75
Peanut butter cups (Reese's),1 miniature cup,36.05
Peanut butter sandwich cracker,1 sandwich,11.856
"Peanut butter, reduced fat",1 Tablespoon,93.6
Peanut sauce,1 Tablespoon,44.1
Peanut sauce,.25 cup,178.7625
Peanuts,1 ounce (32 peanuts),169.8165
Peanuts,.25 cup,218.635
Pear (canned in light syrup),1 half with liquid,43.32
Pear (canned in light syrup),.5 cup,70.965
Pear (canned in light syrup),1 snack size (4 oz),64.41
Pear (raw),1 medium (2-1/2 per lb),96.28
Pear (raw),".5 cup, sliced or cubed",47.85
Pear (raw),1 large (2 per lb),121.22
Pear (raw),1 small (3 per lb),80.62
Pear (raw),1 slice,8.12
Peas and carrots,.5 cup,38.4
Pecan pie,"1 piece (1/8 of 9"" pie)",456
Pecans,1 ounce (20 halves),195.8985
Pecans,.25 cup,186.57
Pedialyte,1 cup,25
Pepperoni,1 slice,25.63
Pepperoni,".25 cup, sliced",118.83
Pepperpot soup or menudo soup,1 cup,103.63
Persimmons (raw),1 persimmon,117.6
Pesto sauce,1 Tablespoon,82.44133
Pesto sauce,.25 cup,329.76533
"Philly cheese steak (pepper, onion, roll)",1 submarine,485.52
Pickle relish,1 packet (2 teaspoons),13
Pickle relish,.25 cup,79.625
Pickled beets,.25 cup,26.6175
Pig in a blanket (hot dog in dough),1 pig in a blanket,275.4
Pig in a blanket (hot dog in dough),1 cocktail-size,64.8
Pina colada,1 cocktail,417.6
Pina colada,8 fluid ounces (no ice),417.6
Pine nuts (pignolias),1 Tablespoon,57.878
Pine nuts (pignolias),.25 cup,228.82
Pineapple (canned in light syrup),".5 cup, chunks or crushed",65.52
Pineapple (canned in light syrup),1 slice or ring,24.96
Pineapple (raw),".5 cup, diced",37.2
Pineapple (raw),1 slice,40.32
Pineapple juice (100% juice),1 cup,140
Pistachios,.25 cup in shell,82.36
Pistachios,.25 cup shelled,181.76
Pistachios,1 ounce in shell,85.2
Pita bread (100% whole wheat),"1 medium (5-1/4"" across)",119.7
Pita bread (100% whole wheat),"1 large (6-1/2"" across)",226.1
Pita bread (100% whole wheat),"1 small (4"" across)",74.48
Pita bread (white),"1 medium (5-1/4"" across)",123.75
Pita bread (white),"1 large (6-1/2"" across)",233.75
Pita bread (white),"1 small (4"" across)",77
Pizza rolls or bites,1 miniature roll,42
Plain Danish pastry,"1 medium (4-1/4"" across)",261.95
Plain Danish pastry,"1 large (7"" across)",572.26
Plain Danish pastry,"1 small (3"" across)",141.05
Plain Danish pastry,1 Toaster Strudel,213.59
Plain muffin,"1 medium (2 3/4"" across)",344.65
Plain muffin,"1 large (3 1/4"" across)",469.7
Plain muffin,"1 miniature (1 1/4"" across)",57.95
Plain muffin,"1 small (2 1/2"" across)",201.3
"Plain yogurt, fat free",1 8 oz container,127.12
"Plain yogurt, fat free",1 ounce,15.89
"Plain yogurt, whole milk",1 8 oz container,138.47
"Plain yogurt, whole milk",1 ounce,17.30875
Plantain (boiled or baked),.5 medium plantain,136.88
Plantain (boiled or baked),.5 cup,110.2
Plantain soup,1 cup,98
Plum (raw),1 plum,30.36
Polish sausage,".5 cup, sliced",234.05
Polish sausage,".5 10"" long sausage",351.85
Pomegranate (raw),.5 pomegranate,52.36
Pop Tart,1 Pop Tart,204.36
"Popcorn (oil popped, no butter)","1 bag, popped",440
"Popcorn (oil popped, no butter)","1 cup, popped",55
"Popcorn (oil popped, no butter)",1 single serving bag,140
Popsicle,1 single stick,63.36
Popsicle,1 Kool Pop,23.76
Popsicle,1 double stick,92.16
Popsicle,1 Fla-Vor-Ice,30.96
Pork & beans,.5 cup,123.97
Pork & beans,1 small can (8 oz),222.46
Pork or ham with BBQ sauce,.5 cup,236.7
Pork or ham with BBQ sauce,1 slice with sauce,104.4
Pork spareribs (eat lean & fat),1 large cut (3 ribs),533.25
Pork spareribs (eat lean & fat),1 large rib,177.75
Raw mushrooms,1 slice,1.32
Pork spareribs (eat lean & fat),1 medium rib,138.25
Pork spareribs (eat lean & fat),1 small rib,98.75
Pork spareribs (eat lean only),1 large cut (3 ribs),205
Pork spareribs (eat lean only),1 large rib,67.65
Pork spareribs (eat lean only),1 medium rib,53.3
Pork spareribs (eat lean only),1 small rib,36.9
"Pork, veggies and noodles (tomato sauce)",1 cup,408.36
"Potato chips, regular (all flavors)",1 cup,107.2
"Potato chips, regular (all flavors)",1 single serving bag (1 oz),150.08
"Potato chips, regular (all flavors)",1 grab-size bag (1.8 oz),268
"Potato chips, regular (all flavors)",10 chips,96.48
Potato pancake (latke),1 large pancake,69.93
Potato pancake (latke),1 small pancake,41.58
Potato pudding,.5 cup,143.64
Potato salad,.5 cup,129.31
Potato salad with egg,.5 cup,131.24
Potato skin with cheese & bacon,1 order (10 halves),1667.4
Potato skin with cheese & bacon,1 large skin,277.9
Potato skin with cheese & bacon,1 medium skin,166.74
Potato skin with cheese & bacon,1 small skin,138.95
Potato sticks,.5 cup,99.18
Potato sticks,1 single serving bag (1 oz),146.16
Potato sticks,10 sticks,15.66
Pound cake,1 piece (1/10 of loaf),350.35
Powdered sugar (confectioner's sugar),1 teaspoon,9.725
Powdered sugar (confectioner's sugar),.25 cup,116.7
Pozole,1 cup,195.16
Pringles potato chips,"1 cup, stacked (20 chips)",239.94
Pringles potato chips,1 one-inch stack (14 chips),156.24
Pringles potato chips,10 chips,111.6
Protein powder,1 Tablespoon,37.293
Prune juice (100% juice),1 cup,181.76
Prunes,.5 cup pitted,204
Prunes,1 prune,20.16
Pudding (instant or canned),.5 cup (4 fl oz),133.11
"Pudding, no sugar added",.5 cup (4 fl oz),81.25
Pumpkin pie,"1 piece (1/8 of 9"" pie)",323.4
Quarter pound cheeseburger on bun,1 quarter pound burger,552
Quarter pound hamburger on bun,1 quarter pounder,458.64
"Quiche (with meat, poultry or fish)","1 piece (1/8 of 9"" quiche)",568.32
"Quiche (with meat, poultry or fish)",1 individual quiche,334.48
Radish,1 slice,0.16
Radish,.25 cup slices,4.64
Radish,1 medium,0.72
Raised doughnut,"1 medium (3-3/4"" across)",241.8
Raised doughnut,1 doughnut hole,52.39
Raised doughnut,"1 large (4"" across)",302.25
Raised doughnut,"1 twist (5"" long)",362.7
Raised doughnut,"1 small (3"" across)",124.93
"Raised doughnut, frosted","1 medium (3"" across)",274.77
"Raised doughnut, frosted","1 large (4"" across)",394.74
"Raised doughnut, frosted",1 doughnut hole,89.01
Raisin bagel,1 regular (4 oz),287.7
Raisin bagel,1 large (5 oz),358.94
Raisin bagel,1 small (2 1/2 oz),189.06
Raisin bran cereal,1 cup,194.59
Raisin bran cereal,1 single serving box,124.41
Raisin bread,1 regular slice,71.24
Raisins,1 Tablespoon,27
Raisins,1 miniature box (1/2 oz),41.86
Raisins,.25 cup,108.3875
Raisins,1 small box (1 1/2 oz),128.57
Ramen noodle soup,".5 package, prepared",170.43
Ramen noodle soup,1 cup,160.77
Raspberries (raw),.5 cup,31.98
Raw bean sprouts,.5 cup,15.6
Raw broccoli,.5 cup flowerets,12.07
Raw broccoli,.5 cup chopped,14.96
Raw broccoli,1 floweret,3.74
Raw cabbage,.5 cup chopped,13.795
Raw cabbage,.5 cup shredded,10.85
Raw cabbage,1 leaf,7.13
Raw carrots,.5 cup strips or slices,25.01
Raw carrots,.5 cup grated,22.55
Raw carrots,1 baby carrot,4.1
Raw cauliflower,.5 cup,12.5
Raw cauliflower,1 floweret,3.25
Raw celery,.5 cup diced,8.4
Raw celery,.5 cup sticks,8.68
Raw celery,"5 sticks or strips (4"" long)",2.8
Raw hot pepper (jalapeno),1 pepper,18.9
Raw hot pepper (jalapeno),.25 cup,15.75
Raw mushrooms,.5 cup pieces or slices,7.7
Raw mushrooms,1 medium,3.96
Raw onion,"1 slice (1/8"" thick)",5.88
Raw onion,.25 cup,16.8
Raw spinach,1 cup,6.9
Raw sweet pepper (bell pepper),1 slice or ring,2
Raw sweet pepper (bell pepper),.25 cup chopped,7.45
Raw sweet pepper (bell pepper),.5 cup sliced,9.2
Raw sweet pepper (bell pepper),1 medium,23.8
Raw tomatoes,1 wedge (1/4 of medium tomato),5.58
Raw tomatoes,"1 medium whole (2-3/5"" across)",22.14
Raw tomatoes,".5 cup, chopped or sliced",16.2
Raw tomatoes,"1 large whole (3"" across)",32.76
Raw tomatoes,"1 small whole (2-2/5"" across)",16.38
Raw tomatoes,1 cherry tomato,3.06
Raw tomatoes,"1 medium slice (1/4"" thick)",3.6
Reduced fat cheese cracker,.25 cup,49.68
Reduced fat potato chips (all flavors),1 cup,94.2
Reduced fat potato chips (all flavors),10 chips,80.07
Reduced-calorie spread (margarine type),1 pat (1 teaspoon),17.25
Reduced-calorie spread (margarine type),1 Tablespoon,50.025
Reduced-fat chocolate chip cookie,1 Nabisco Chips Ahoy!,46.866
Reduced-fat chocolate chip cookie,".25 cup, Snackwell's",73.365
Reduced-fat chocolate chip cookie,1 Keebler Chips Deluxe,70.08
Reduced-fat oatmeal raisin cookie,1 cookie,51.57
Reduced-fat Oreo,1 cookie,46
Reduced-fat snack cracker,1 round cracker (Ritz),11.76
Reduced-fat snack cracker,1 Snackwell's cracker,9.016
Reduced-fat Triscuit,1 cracker,15.795
Refried beans,.5 cup,182.16
Refrigerated biscuit (canned dough),1 biscuit,65.74
Refrigerated biscuit (canned dough),1 crescent roll,96.88
Refrigerated biscuit (canned dough),1 large biscuit,100.34
Refrigerated biscuit (canned dough),1 extra large (Pillsbury Grands!),190.3
Rice and beans,.5 cup,195.98
Rice Chex cereal,1 cup,124.41
Rice Krispies cereal,1 cup,93.6
Rice Krispies cereal,1 single serving box,90
Rice with tomato sauce,.5 cup,126.36
Ricotta cheese,.25 cup,95.94
Roast beef (eat lean & fat),1 medium slice,111.72
Roast beef (eat lean & fat),1 thick slice,167.58
Roast beef (eat lean & fat),1 thin slice,55.86
Roast beef (eat lean & fat),4 ounces after cooking,301.644
Roast beef (eat lean only),1 medium slice,82.74
Roast beef (eat lean only),1 thick slice,124.11
Roast beef (eat lean only),1 thin slice,41.37
Roast beef (eat lean only),4 ounces after cooking,223.398
Roast beef sandwich,1 sandwich,368.97
Roast pork (lean),1 medium slice,87.36
Roast pork (lean),1 thick slice,131.04
Roast pork (lean),1 thin slice,43.68
Roast pork (lean),"4 ounces, boneless",235.872
Roast pork tenderloin,4 ounces after cooking,195.048
Roasted chestnuts,1 ounce (3 chestnuts),69.4575
Roasted chestnuts,.25 cup,87.5875
Roasted Cornish game hen,1 breast,284.9
Roasted Cornish game hen,1 hen,792.54
Roasted duck,1 breast,255.36
Roasted duck,1 drumstick and thigh,184.8
Roasted duck,1 duck half,1283.52
Roasted potatoes,"1 medium (2 per pound, raw)",179.47
Roasted potatoes,.5 cup,83.57
Roasted potatoes,"1 large (13 ounces, raw)",310.99
Roasted potatoes,"1 small (6 ounces, raw)",143.85
Roasted potatoes,4 ounces raw,93.16
Roasted turkey (white & dark meat),1 medium slice,47.32
Roasted turkey (white & dark meat),1 thin slice,23.66
Roasted turkey (white & dark meat),4 ounces after cooking,189.28
Roasted turkey (white meat),1 medium slice,43.68
Roasted turkey (white meat),1 thin slice,21.84
Roasted turkey (white meat),4 ounces after cooking,174.72
Roasted veal,1 medium slice,96.6
Roasted veal,1 thick slice,144.9
Roasted veal,1 thin slice,48.3
Roasted veal,"4 ounces, boneless",260.82
Roasted venison,4 ounces after cooking,215.46
Romaine lettuce,1 medium leaf,2
Romaine lettuce,1 cup,7.6
Rum,1 jigger (jigger = 1.5 oz),97.02
Rum,2 fluid ounces,128.436
Rum & coke,1 cocktail,273.6
Rum & coke,8 fluid ounces (no ice),182.4
Rye bread,1 regular slice,67.34
Rye bread,1 large slice,82.88
Rye bread,1 snack-size slice,18.13
Rye bread,1 thin slice,51.8
Salisbury steak frozen meal,1 regular meal,461.76
Salisbury steak with gravy,1 steak with gravy,218.01
Salsa,.25 cup,17.36
Salsa,1 Tablespoon,4.48
Saltine cracker,1 square cracker,13.02
Saltine cracker,1 rectangle cracker,26.04
Sangria,1 drink (drink = 8 fl oz),164.16
Sangria,8 fluid ounces (no ice),167.04
Sauerkraut,.5 cup,13.49
Sausage biscuit,1 regular biscuit,437.92
Sausage biscuit,1 small biscuit,222.87
Sausage gravy,.5 cup,187.2
"Sausage, egg, and cheese croissant",1 croissant,539.01
Sauteed green peppers & onions,.5 cup,39.6
Scalloped potatoes,.5 cup,108.48
Scrambled egg (cooked with fat),1 large egg,93.62
Scrambled egg (cooked with fat),.5 cup,161.57
Scrambled egg (cooked without fat),1 large egg,78
Scrambled egg (cooked without fat),.5 cup,134.55
"Seafood salad (with tomatoes, dressing)",.5 cup,163.28
Seafood stuffed shells with tomato sauce,3 jumbo shells,306.27
Sesame seeds,1 Tablespoon,53
Sesame seeds,.25 cup,212.625
Sherbet,1 cup,277.92
Sherbet,1 push up,95.04
Shortbread cookie,1 small (Lorna Doone),35.14
Shortbread cookie,1 large,105.42
Shortbread cookie,"1 medium (2"" across)",75.3
Shortbread cookie,1 Girl Scout cookie,31.626
Shredded sweetened coconut,.25 cup shredded,110.205
Shredded sweetened coconut,.25 cup flaked,87.69
Shredded sweetened coconut,1 ounce,134.379
Shredded wheat cereal,1 cup spoon size biscuits,170
Shredded wheat cereal,1 rectangular biscuit,81.6
Shrimp fried rice,.5 cup,161.37
Shrimp lo mein,1 cup,236
Shrimp with pasta diet frozen meal,1 regular meal,290.16
Slurpee or snow cone,1 medium (16 fl oz),423.68
Slurpee or snow cone,1 cup,212.48
Slurpee or snow cone,1 large (22 fl oz),578.56
Slurpee or snow cone,1 small (10 fl oz),355.84
Smoked ham (lean),1 medium slice,65.94
Smoked ham (lean),1 thick slice,98.91
Smoked ham (lean),1 thin slice,32.97
Smoked ham (lean),"4 ounces, boneless",178.038
Smoked salmon (lox),1 slice or piece,23.4
Smoked salmon (lox),1 ounce,33.1695
Snack cracker,1 round cracker (Ritz),15.06
Snack cracker,.25 cup bite size crackers,66.515
Snack cracker,1 rectangular cracker,20.08
"Snack Mix (pretzel, nut, cereal mix)",.25 cup,47.475
Snickers candy bar,1 bar (2 oz),273.03
Snickers candy bar,1 king size bar (4 oz),541.27
Snickers candy bar,1 miniature bar (.3 oz),43.11
"Soft drink, diet",1 small (drink = 16 fl oz),4.73
"Soft drink, diet",1 medium (drink = 22 fl oz),6.5
"Soft drink, diet",1 large (drink = 32 fl oz),9.46
"Soft drink, diet",1 extra large (drink = 44 fl oz),13.01
"Soft drink, diet",1 can,3.55
"Soft drink, diet",1 bottle ( bottle = 16 fl oz),4.73
"Soft drink, regular",1 can,154.98
"Soft drink, regular",1 bottle ( bottle = 16 fl oz),206.64
"Soft drink, regular",1 small (drink = 16 fl oz),206.64
"Soft drink, regular",1 medium (drink = 22 fl oz),283.92
"Soft drink, regular",1 large (drink = 32 fl oz),413.28
"Soft drink, regular",1 extra large (drink = 44 fl oz),568.26
Soft pretzel,1 medium (4 oz),388.7
Soft pretzel,1 large ( 5 oz),483.34
Soft pretzel,1 small (2 oz),209.56
Soft serve ice cream,1 cup,347.73
Sorbet (made with fruit),.5 cup,82
Sour cream,1 individual container,64.2
Sour cream,2 Tablespoons,61.525
Sour cream dip,.25 cup,133.65
"Sour cream, low fat or light",2 Tablespoons,43.52
Sourdough bread,1 medium slice,68.5
Sourdough bread,1 large slice,95.9
Sourdough bread,1 small slice,41.1
Soy burger (no bun),1 patty,125.3
Soy nuts,.25 cup,109.5075
Soy sauce,1 Tablespoon,8.48
Soy sauce,1 packet,4.717
Soymilk,1 cup,98
Soymilk,8 fluid ounces,98
Spaghetti sauce (meatless),.5 cup,71.25
Spaghetti sauce (with meat),.5 cup,140.685
"Spaghetti sauce, fat-free (meatless)",.5 cup,51.25
Spaghetti with meat sauce,1 cup,349.68
Spaghetti with tomato sauce (meatless),1 cup,250.48
"Spaghetti, macaroni, or pasta (plain)","1 cup, cooked",196
"Spaghetti, macaroni, or pasta (plain)",1 jumbo shell,32.2
"Spaghetti, macaroni, or pasta (plain)",1 lasagne noodle,77
"Spaghetti, macaroni, or pasta (plain)","2 ounces dry, cooked yield",218.4
Spanish rice,.5 cup,105.705
Special K cereal,1 cup,117.49
Special K cereal,1 single serving box,79.59
Spinach lasagna (vegetarian),"1 piece (about 2-1/2"" x 4"")",279.21
Spinach lasagna (vegetarian),1 cup,307.5
Spinach quiche,"1 piece (1/8 of 9"" quiche)",341.77
Spinach quiche,1 individual quiche,270.07
Split pea soup with ham,1 cup,195
Split peas,.5 cup,114.66
Steak sandwich on roll,1 sandwich,343.64
Steak sauce (A-1),1 Tablespoon,9.76
Steak sauce (A-1),.25 cup,38.125
"Steamed clams (oysters, mussels)",.5 cup (1 cup=12 medium clams),69
"Steamed clams (oysters, mussels)","1 quart, in shell",172.04
Steamed crab (hard shell),1 medium blue crab,48.48
Steamed crab (hard shell),1 Pacific crab,114.13
Steamed crab (hard shell),1 king crab leg,120.19
Steamed crab (hard shell),1 snow crab,54.54
"Steamed dumpling, meat filled",1 dumpling,41.44
Steamed or boiled crayfish,".5 cup, cooked",56.7
Steamed or boiled crayfish,2 ounces after cooking,45.36
Steamed or boiled lobster,1 medium lobster tail,142.59
Steamed or boiled lobster,.5 medium lobster,143.075
Steamed or boiled lobster,4 ounces after cooking,109.998
Steamed or boiled shrimp,4 ounces after cooking,154.56
Steamed or boiled shrimp,".5 cup, cooked",100.05
Steamed or boiled shrimp,1 jumbo shrimp,13.80003
Steamed or boiled shrimp,10 medium shrimp,69
Steamed or boiled shrimp,10 small shrimp,55.2
Stew vegetables,.5 cup,57.75
Stewed tomatoes,.5 cup,33.15
Stick margarine,1 pat (1 teaspoon),35.25
Stick margarine,.25 stick,199.1625
Stick margarine,1 Tablespoon,100.11
"Stir-fried beef, veggies & noodles",1 cup,223.51
Stir-fried chicken & veggies on rice,1 cup,234.36
Stir-fried chicken and vegetables,.5 cup,89.91
"Stir-fried pork, vegetables & rice",1 cup,245.21
Stir-fried shrimp and vegetables,.5 cup,79.38
Strawberries (cooked or canned in syrup),.5 cup,116.84
Strawberries (raw),".5 cup, whole",23.04
Strawberries (raw),".5 cup, pureed",37.12
Strawberries (raw),".5 cup, sliced",26.56
Strawberries (raw),1 large,5.76
